Name,Team,Position,Price,Points
Oumar Niasse,CAR,FWD,50,0.00
Aleksandar Mitrovic,FUL,FWD,64,0.00
Sergio Aguero,MCI,FWD,119,0.00
Marcus Rashford,MUN,FWD,76,0.00
Romelu Lukaku,MUN,FWD,108,0.00
Harry Kane,TOT,FWD,125,0.00
Troy Deeney,WAT,FWD,59,0.00
Raul Jimenez,WOL,FWD,68,0.00
Alisson,LIV,GK,59,4.69
Kepa Arrizabalaga,CHE,GK,54,4.58
Kasper Schmeichel,LEI,GK,50,4.50
Artur Boruc,BOR,GK,41,4.18
Martin Dubravka,NEW,GK,50,4.17
Vicente Guaita,CPL,GK,42,4.03
Bernd Leno,ARS,GK,48,3.99
Tom Heaton,BUR,GK,48,3.77
Jordan Pickford,EVE,GK,49,3.75
Ben Hamer,HUD,GK,39,3.71
Angus Gunn,SOT,GK,43,3.51
Lukasz Fabianski,WHU,GK,48,3.46
Mat Ryan,BRI,GK,44,0.00
Neil Etheridge,CAR,GK,47,0.00
Sergio Rico,FUL,GK,44,0.00
Ederson,MCI,GK,56,0.00
David De Gea,MUN,GK,57,0.00
Hugo Lloris,TOT,GK,54,0.00
Ben Foster,WAT,GK,46,0.00
Rui Patricio,WOL,GK,45,0.00
Sadio Mane,LIV,MID,100,5.74
Eden Hazard,CHE,MID,110,5.55
Willian,CHE,MID,71,5.24
Ruben Loftus-Cheek,CHE,MID,52,4.92
Ryan Fraser,BOR,MID,62,4.89
Richarlison,EVE,MID,65,4.68
Mohamed Salah,LIV,MID,132,4.66
James Milner,LIV,MID,56,4.58
James Maddison,LEI,MID,68,4.51
Nathan Redmond,SOT,MID,53,4.43
Harvey Barnes,LEI,MID,55,4.41
Gylfi Sigurdsson,EVE,MID,73,4.40
Andros Townsend,CPL,MID,58,4.34
N'Golo Kante,CHE,MID,50,4.30
Youri Tielemans,LEI,MID,61,4.24
Matt Ritchie,NEW,MID,58,4.04
Mesut Ozil,ARS,MID,79,3.90
Georginio Wijnaldum,LIV,MID,55,3.73
Stuart Armstrong,SOT,MID,51,3.67
Jorginho,CHE,MID,46,3.63
Aaron Ramsey,ARS,MID,71,3.62
Michail Antonio,WHU,MID,68,3.60
Pierre-Emile Hojbjerg,SOT,MID,44,3.57
Bernard,EVE,MID,59,3.55
Alex Pritchard,HUD,MID,48,3.49
Aaron Mooy,HUD,MID,50,3.46
Demarai Gray,LEI,MID,54,3.43
Dwight Mcneil,BUR,MID,44,3.43
Ashley Westwood,BUR,MID,46,3.39
Isaac Hayden,NEW,MID,44,3.38
James McArthur,CPL,MID,48,3.35
Felipe Anderson,WHU,MID,71,3.35
James Ward-Prowse,SOT,MID,51,3.34
Miguel Almiron,NEW,MID,60,3.34
Manuel Lanzini,WHU,MID,64,3.34
Luka Milivojevic,CPL,MID,63,3.28
Dan Gosling,BOR,MID,47,3.15
Mark Noble,WHU,MID,48,3.15
Fabinho,LIV,MID,55,3.12
Wilfred Ndidi,LEI,MID,49,3.07
Jefferson Lerma,BOR,MID,45,3.06
Jack Cork,BUR,MID,46,3.03
Ainsley Maitland-Niles,ARS,MID,44,3.01
Andre Gomes,EVE,MID,54,2.93
Matteo Guendouzi,ARS,MID,44,2.92
David Brooks,BOR,MID,51,2.90
Mohamed Diame,NEW,MID,48,2.79
Jonathan Hogg,HUD,MID,44,2.77
Jeff Hendrick,BUR,MID,52,2.75
Idrissa Gueye,EVE,MID,47,2.67
Oriol Romeu,SOT,MID,42,2.44
Yves Bissouma,BRI,MID,46,0.00
Dale Stephens,BRI,MID,43,0.00
Davy Propper,BRI,MID,48,0.00
Anthony Knockaert,BRI,MID,52,0.00
Alireza Jahanbakhsh,BRI,MID,67,0.00
Junior Hoilett,CAR,MID,50,0.00
Aron Gunnarsson,CAR,MID,44,0.00
Harry Arter,CAR,MID,49,0.00
Josh Murphy,CAR,MID,48,0.00
Victor Camarasa,CAR,MID,45,0.00
Andre Zambo Anguissa,FUL,MID,44,0.00
Tom Cairney,FUL,MID,46,0.00
Ryan Babel,FUL,MID,55,0.00
Ryan Sessegnon,FUL,MID,60,0.00
Kevin De Bruyne,MCI,MID,97,0.00
Fernandinho,MCI,MID,53,0.00
David Silva,MCI,MID,85,0.00
Bernardo Silva,MCI,MID,76,0.00
Raheem Sterling,MCI,MID,116,0.00
Nemanja Matic,MUN,MID,50,0.00
Ander Herrera,MUN,MID,50,0.00
Paul Pogba,MUN,MID,88,0.00
Jesse Lingard,MUN,MID,67,0.00
Moussa Sissoko,TOT,MID,49,0.00
Dele Alli,TOT,MID,88,0.00
Christian Eriksen,TOT,MID,92,0.00
Son Heung-Min,TOT,MID,86,0.00
Will Hughes,WAT,MID,49,0.00
Etienne Capoue,WAT,MID,48,0.00
Abdoulaye Doucoure,WAT,MID,59,0.00
Roberto Pereyra,WAT,MID,60,0.00
Gerard Deulofeu,WAT,MID,57,0.00
Leander Dendoncker,WOL,MID,43,0.00
Ruben Neves,WOL,MID,49,0.00
Joao Moutinho,WOL,MID,53,0.00
Diogo Jota,WOL,MID,61,0.00
