Name,Team,Position,Price,Points
Seamus Coleman,EVE,DEF,52,2.83
Jeff Hendrick,BUR,MID,52,2.82
Jose Holebas,WAT,DEF,48,2.82
David Luiz,CHE,DEF,58,2.81
Jack Cork,BUR,MID,46,2.77
Alireza Jahanbakhsh,BRI,MID,67,2.76
Christian Kabasele,WAT,DEF,44,2.76
Sokratis Papastathopoulos,ARS,DEF,51,2.74
Lucas Digne,EVE,DEF,54,2.74
Jefferson Lerma,BOR,MID,45,2.72
Andre Zambo Anguissa,FUL,MID,44,2.72
Shkodran Mustafi,ARS,DEF,54,2.71
Fabian Schar,NEW,DEF,45,2.71
Ki Sung-Yueng,NEW,MID,47,2.69
Aaron Wan-Bissaka,CPL,DEF,46,2.69
Cesar Azpilicueta,CHE,DEF,64,2.68
Ruben Neves,WOL,MID,49,2.67
Kiko,WAT,DEF,42,2.64
Jordon Ibe,BOR,MID,49,2.63
Javier Manquillo,NEW,DEF,43,2.62
Wilfred Ndidi,LEI,MID,49,2.61
Arthur Masuaku,WHU,DEF,42,2.61
Morgan Schneiderlin,EVE,MID,42,2.60
Aron Gunnarsson,CAR,MID,44,2.60
Jonathan Hogg,HUD,MID,44,2.60
Maxime Le Marchand,FUL,DEF,42,2.60
Cyrus Christie,FUL,DEF,42,2.58
Andreas Christensen,CHE,DEF,50,2.58
Dale Stephens,BRI,MID,43,2.57
Laurent Koscielny,ARS,DEF,54,2.55
Ben Mee,BUR,DEF,46,2.55
Jamaal Lascelles,NEW,DEF,47,2.50
Tom Cleverley,WAT,MID,50,2.50
Tim Ream,FUL,DEF,42,2.45
Harry Maguire,LEI,DEF,54,2.43
Jonny Evans,LEI,DEF,48,2.43
Paul Dummett,NEW,DEF,44,2.43
Nathan Ake,BOR,DEF,51,2.42
Kurt Zouma,EVE,DEF,50,2.41
Ryan Fredericks,WHU,DEF,45,2.28
Declan Rice,WHU,DEF,45,2.26
Issa Diop,WHU,DEF,42,2.26
James Tarkowski,BUR,DEF,47,2.25
Fabian Balbuena,WHU,DEF,42,2.24
Adama Diakhaby,HUD,MID,45,2.24
Sean Morrison,CAR,DEF,47,2.23
Michael Keane,EVE,DEF,48,2.23
Adam Smith,BOR,DEF,43,2.21
Willy Boly,WOL,DEF,47,2.19
Chris Lowe,HUD,DEF,44,2.14
Matthew Lowton,BUR,DEF,46,2.12
Steve Cook,BOR,DEF,43,2.11
Charlie Taylor,BUR,DEF,44,2.10
Nathaniel Clyne,BOR,DEF,44,2.06
Danny Simpson,BOR,DEF,42,2.02
Matthew Doherty,WOL,DEF,53,1.91
Jonny,WOL,DEF,43,1.84
Tommy Smith,HUD,DEF,44,1.76
Terence Kongolo,HUD,DEF,43,1.72
Christopher Schindler,HUD,DEF,42,1.68
Romain Saiss,WOL,DEF,42,1.60
Conor Coady,WOL,DEF,45,1.59
Joe Bennett,CAR,DEF,44,1.37
Bernardo,BRI,DEF,42,1.36
Lewis Dunk,BRI,DEF,44,1.33
Shane Duffy,BRI,DEF,47,1.29
Bruno Ecuele Manga,CAR,DEF,44,1.26
Lee Peltier,CAR,DEF,39,1.25
Bruno,BRI,DEF,44,1.08
