Name,Team,Position,Price,Points
Lewis Dunk,BRI,DEF,44,4.51
Ryan Babel,FUL,MID,55,4.45
Jordan Henderson,LIV,MID,53,4.38
Andrew Robertson,LIV,DEF,68,4.37
N'Golo Kante,CHE,MID,50,4.34
Artur Boruc,BOR,GK,41,4.33
Richarlison,EVE,MID,65,4.3
Virgil van Dijk,LIV,DEF,66,4.29
Nathan Ake,BOR,DEF,51,4.27
Joel Matip,LIV,DEF,49,4.26
Martin Dubravka,NEW,GK,50,4.25
Joshua King,BOR,FWD,66,4.19
David Luiz,CHE,DEF,59,4.15
Antonio Rudiger,CHE,DEF,59,4.12
Martin Montoya,BRI,DEF,43,4.11
Emerson Palmieri,CHE,DEF,45,4.1
Felipe Anderson,WHU,MID,69,4.05
Matt Ritchie,NEW,MID,58,4.04
Kasper Schmeichel,LEI,GK,50,4.01
Dominic Calvert-Lewin,EVE,FWD,54,4.01
Harvey Barnes,LEI,MID,55,3.97
Andros Townsend,CPL,MID,57,3.96
Naby Keita,LIV,MID,71,3.93
Robert Snodgrass,WHU,MID,50,3.89
Jordan Pickford,EVE,GK,49,3.85
David Brooks,BOR,MID,51,3.85
Lukasz Fabianski,WHU,GK,48,3.84
Dan Gosling,BOR,MID,47,3.8
Youri Tielemans,LEI,MID,61,3.79
Manuel Lanzini,WHU,MID,64,3.78
Victor Camarasa,CAR,MID,45,3.71
Marko Arnautovic,WHU,FWD,68,3.65
Ben Hamer,HUD,GK,39,3.64
Bernard,EVE,MID,59,3.61
Jorginho,CHE,MID,46,3.59
Sergio Rico,FUL,GK,44,3.57
Vicente Guaita,CPL,GK,42,3.51
Miguel Almiron,NEW,MID,60,3.5
Aaron Mooy,HUD,MID,50,3.49
Fabinho,LIV,MID,55,3.47
Demarai Gray,LEI,MID,54,3.46
Tom Heaton,BUR,GK,48,3.43
Neil Etheridge,CAR,GK,47,3.42
Alex Pritchard,HUD,MID,48,3.41
Oumar Niasse,CAR,FWD,50,3.41
Adam Smith,BOR,DEF,43,3.4
Michy Batshuayi,CPL,FWD,65,3.39
Fabian Schar,NEW,DEF,46,3.33
Ben Chilwell,LEI,DEF,51,3.28
Ashley Westwood,BUR,MID,46,3.24
DeAndre Yedlin,NEW,DEF,45,3.23
Dwight Mcneil,BUR,MID,44,3.19
Nathaniel Clyne,BOR,DEF,44,3.16
Paul Dummett,NEW,DEF,44,3.15
Luka Milivojevic,CPL,MID,64,3.14
Jamaal Lascelles,NEW,DEF,47,3.13
Harry Maguire,LEI,DEF,54,3.12
Jefferson Lerma,BOR,MID,45,3.12
Josh Murphy,CAR,MID,48,3.12
Ryan Sessegnon,FUL,MID,60,3.1
Isaac Hayden,NEW,MID,43,3.09
Chris Mepham,BOR,DEF,45,3.09
Junior Hoilett,CAR,MID,50,3.08
Tom Cairney,FUL,MID,46,3.06
Andre Zambo Anguissa,FUL,MID,44,3.05
Andre Gomes,EVE,MID,54,3.04
Ricardo Pereira,LEI,DEF,54,3
Fabian Balbuena,WHU,DEF,42,3
Mark Noble,WHU,MID,48,2.98
Lucas Digne,EVE,DEF,53,2.96
Jonathan Hogg,HUD,MID,44,2.87
James McArthur,CPL,MID,48,2.87
Aaron Cresswell,WHU,DEF,50,2.84
Aron Gunnarsson,CAR,MID,44,2.82
Idrissa Gueye,EVE,MID,47,2.8
Ki Sung-Yueng,NEW,MID,47,2.79
Seamus Coleman,EVE,DEF,52,2.78
Ryan Fredericks,WHU,DEF,45,2.77
Wilfred Ndidi,LEI,MID,49,2.69
Jack Cork,BUR,MID,46,2.67
Jonny Evans,LEI,DEF,48,2.66
Angelo Ogbonna,WHU,DEF,42,2.65
Kurt Zouma,EVE,DEF,50,2.62
Jeff Schlupp,CPL,DEF,45,2.61
Michael Keane,EVE,DEF,48,2.58
Jeff Hendrick,BUR,MID,52,2.55
Harry Arter,CAR,MID,49,2.54
Juninho Bacuna,HUD,DEF,42,2.5
Declan Rice,WHU,DEF,46,2.5
Chris Lowe,HUD,DEF,44,2.41
Joe Bryan,FUL,DEF,48,2.25
Terence Kongolo,HUD,DEF,43,2.25
Calum Chambers,FUL,DEF,42,2.15
Tommy Smith,HUD,DEF,44,2.14
Maxime Le Marchand,FUL,DEF,42,2.1
Sean Morrison,CAR,DEF,47,2.08
Christopher Schindler,HUD,DEF,42,2.08
Erik Durm,HUD,DEF,44,1.99
Patrick van Aanholt,CPL,DEF,55,1.98
Aaron Wan-Bissaka,CPL,DEF,45,1.93
Tim Ream,FUL,DEF,42,1.85
Cyrus Christie,FUL,DEF,42,1.84
Martin Kelly,CPL,DEF,39,1.8
Scott Dann,CPL,DEF,44,1.74
Ben Mee,BUR,DEF,46,1.73
James Tarkowski,BUR,DEF,47,1.7
Joe Bennett,CAR,DEF,44,1.61
Matthew Lowton,BUR,DEF,46,1.53
Charlie Taylor,BUR,DEF,44,1.51
Bruno Ecuele Manga,CAR,DEF,44,1.47
Lee Peltier,CAR,DEF,39,1.41
