Attack Points,Pred Goals,Pred Assist,Passes Received,Last 4 xG,Last 4xA
6,0.81,0.09,10.75,0.215,0.0325
5,0.57,0.39,13.75,0.475,0.175
7,0.6,0.02,11.25,0.485,0.0375
7,0.72,0.38,12.5,0.6975,0.045
4,0.57,0.21,6.25,0.06,0.03
0,0.34,0.05,13.75,0.1375,0.03
0,0.34,0.03,9.25,0.39,0.0475
0,0.37,0.1,6,0.09,0.0075
4,0.3,0.02,12.75,0.36,0.2225
5,0.61,0.11,7.75,0.5825,0.1425
0,0.8,0.02,5.75,0.3425,0.0075
3,0.16,0.33,16.25,0.1025,0.4125
0,0.79,0.14,14.5,0.5125,0.085
0,0.16,0,6.5,0.0425,0.0125
6,0.6,0.29,9.5,0.12,0.14
6,0.59,0.57,7.25,0.365,0.0825
4,0.55,0.08,24.75,0.73,0.1375
4,0.74,0.43,14.25,0.6225,0.24
10,0.37,0.51,14.25,0.4125,0.1975
0,0.36,0.36,8.25,0.01,0.01
0,0.81,0.09,12,0.315,0.0125
0,0.18,0.29,6.75,0.41,0.0125
10,0.57,0.39,12.75,0.3625,0.1325
14,0.53,0.07,12.25,0.5825,0.0475
0,0.6,0.02,10,0.355,0.025
0,0.93,0.23,15.5,0.87,0.0825
0,0.1,0.14,10.75,0.3875,0.1075
0,0.36,0.08,8.75,0.125,0.0125
0,0.45,0.07,8.5,0.305,0.0375
0,0.28,0.13,17.25,0.5475,0.22
0,0.56,0.21,8.5,0.7725,0.1475
0,0.11,0.44,16.75,0.0925,0.32
0,0.75,0.1,12.25,0.5275,0.0425
0,0.48,0.1,8,0.3525,0.0875
0,0.61,0.09,18,0.785,0.1175
5,0.38,0.29,15.5,0.655,0.205
0,0.2,0.19,6.25,0.0225,0.0125
0,0.59,0.08,10,0.2725,0.0175
0,0.5,0.41,11.75,0.46,0.1125
0,0.4,0.06,13.75,0.7325,0.0625
0,0.57,0.01,10,0.1675,0.075
0,0.87,0.14,16,0.765,0.12
6,0.37,0.11,12.75,0.5,0.0525
6,0.51,0.13,15.25,0.46,0.0525
0,0.31,0.11,9.5,0.31,0.0475
0,0.43,0.2,15,0.7275,0.2125
0,0.63,0.17,9.75,0.635,0.13
3,0.2,0.14,20.75,0.2625,0.325
0,0.71,0.11,11,0.5075,0.05
0,0.1,0.07,6.75,0.06,0.0225
3,0.36,0.06,5.75,0.3275,0.08
6,0.78,0.1,17.5,0.87,0.105
3,1,0.15,18.75,0.7125,0.2175
7,0.65,0.29,15.25,0.575,0.2
5,0.13,0.24,6,0.0475,0.02
3,0.72,0.15,10.25,0.29,0.0325
0,0.51,0.21,13.75,0.3875,0.0475
3,0.6,0.1,9.25,0.1475,0.08
6,0.46,0.21,13.75,0.5175,0.1175
10,1.01,0.13,12.75,0.735,0.13
14,0.46,0.1,13.5,0.4325,0.0525
10,0.34,0,7,0.1075,0.0075
0,0.35,0.14,11,0.17,0.0425
7,0.31,0.19,14,0.545,0.2275
5,0.49,0.12,9.25,0.84,0.1325
4,0.22,0.39,17,0.195,0.0725
0,0.55,0.21,9.75,0.31,0.0025
11,0.64,0.11,11,0.2775,0.045
0,0.13,0.13,7.75,0.05,0.0475
0,0.8,0.21,10,0.4425,0.0525
0,0.27,0.09,7.5,0.29,0.0225
0,0.63,0.1,19.5,0.8725,0.0875
7,0.87,0.18,21.25,0.53,0.04
0,0.7,0.3,14.75,0.61,0.1925
6,0.39,0.22,14.5,0.2675,0.1475
0,0.15,0.42,4.25,0.065,0.065
0,0.52,0.32,14.25,0.4275,0.1525
11,0.49,0.26,8.5,0.0925,0.1525
0,0.39,0.11,19.5,0.445,0.205
0,0.56,0.13,15,1.02,0.16
0,0.72,0.26,13,0.6025,0.1375
0,0.81,0,7.5,0.5375,0.0125
0,0.36,0.14,11.5,0.065,0.045
0,0.57,0.28,12,0.45,0.0875
4,0.66,0.18,8.25,0.5675,0.025
0,0.26,0.03,4.25,0.0375,0.005
11,0.31,0.1,4.5,0.0375,0.015
0,0.63,0.26,8.25,0.35,0.0275
0,0.56,0.17,10.25,0.4175,0.0475
0,0.5,0.24,13.75,0.47,0.0725
0,0.27,0.14,6.75,0.195,0.0225
0,0.7,0.11,20.25,0.375,0.1175
0,1.79,0.29,21.75,0.3975,0.04
5,0.57,0.3,16,0.5525,0.09
0,0.32,0.03,8.25,0.295,0.03
0,0.46,0.2,14.25,0.1625,0.1575
0,0.52,0.46,10.5,0.3275,0.12
7,0.68,0.24,10.25,0.3375,0.2475
7,0.53,0.16,18.25,0.1825,0.205
0,0.44,0.16,14.5,0.5,0.145
0,0.67,0,6.5,0.5575,0.01
0,0.31,0.12,14.25,0.16,0.055
11,0.4,0.2,9,0.2925,0.0725
9,0.5,0.13,8.25,0.7175,0.0275
0,0.25,0.08,3.75,0.4625,0.02
0,0.22,0.03,6.75,0.1125,0.0825
7,0.25,0.44,16.25,0.2525,0.0925
0,0.57,0.18,11.5,0.4125,0.0525
0,0.15,0.14,9,0.1,0.0325
3,0.64,0.1,21.5,0.185,0.1175
15,0.81,0.13,19.75,0.72,0.06
0,0.36,0.04,10,0.3175,0.03
0,0.49,0.21,14.75,0.145,0.1575
3,1.13,0.24,15,0.8475,0.0725
0,0.51,0.45,8.75,0.235,0.1
0,0.65,0.23,10.75,0.34,0.195
5,0.67,0.14,16.75,0.2675,0.205
7,0.5,0.22,12.5,0.34,0.1225
0,0,0,9.25,0.58,0.015
0,0,0,13.25,0.1475,0.06
7,0.47,0.12,10.75,0.2675,0.11
5,0.64,0.21,8.5,1.0425,0.0525
0,0.26,0.24,7.25,0.085,0.0625
0,0,0,19,0.2975,0.1125
11,0.31,0.34,15.25,0.13,0.2225
0,0.49,0.21,11.5,0.5925,0.05
0,0.12,0.12,10,0.0675,0.0325
0,1.03,0.24,8.25,0.7775,0.07
15,0,0,16.5,0.935,0.085
0,0.54,0.14,19,0.6725,0.1125
4,0.56,0.11,9.75,0.32,0.0375
10,0.54,0.23,15.5,0.16,0.145
13,0.43,0.57,10.5,0.185,0.185
6,0.55,0.3,11.75,0.515,0.215
5,0.7,0.23,10.5,0.515,0.0675
0,0.49,0.47,13.25,0.635,0.1625
0,0.75,0.01,11,0.7425,0.02
0,0.38,0.08,10.5,0.3025,0.05
0,0.64,0.25,10.25,1.015,0.05
0,0.2,0.04,3.25,0.41,0.0025
0,0.73,0.17,19,0.2975,0.1125
0,0.52,0.22,13,0.3825,0.1575
0,0.45,0.2,13.5,0.6075,0.0525
6,1.29,0.3,7,0.7075,0.07
7,1.18,0.06,15.25,1.14,0.0975
11,0.51,0.1,10.75,0.1775,0.2675
0,0.54,0.07,12.5,0.1825,0.075
0,0.55,0.2,13,0.4075,0.0925
0,0.38,0.37,13,0.275,0.12
0,0.73,0.25,13,0.7175,0.145
3,0.77,0.14,13,0.8,0.0325
0,0.38,0.45,13.25,0.4625,0.13
0,1.06,0.01,9.75,0.3,0.01
0,0.41,0.13,10.5,0.22,0.06
4,0.66,0.34,11,0.9625,0.1025
0,0.14,0.03,4.25,0.3775,0.01
0,0.34,0.15,10.25,0.3525,0.0825
6,0.8,0.15,17.25,0.3575,0.0975
5,0.63,0,8.25,0.35,0.0225
7,0.44,0.23,15,0.3825,0.17
0,0.43,0,11.25,0.215,0.0225
0,0.44,0.19,13,0.3875,0.0575
6,1.01,0.23,9.25,0.9,0.0725
0,0.92,0.07,16.25,1.2125,0.1125
11,0.85,0.1,14.75,0.25,0.22
0,0.7,0.24,11.25,0.405,0.015
0,0.5,0.09,12.5,0.1725,0.07
0,0.55,0.21,14,0.4375,0.0925
5,1.06,0.19,6.75,0.3275,0.035
10,0.51,0.54,13,0.2575,0.1175
10,0.83,0.27,11.75,0.4675,0.055
6,0.88,0.11,12.25,1.07,0.0775
0,0.5,0.74,8.75,0.4325,0.1175
0,0.25,0.12,12,0.2175,0.1475
0,0.47,0.2,11.5,0.835,0.105
0,0.4,0.19,14,0.2875,0.01
0,0.92,0.18,13.25,0.3075,0.08
0,0.57,0.14,14.5,0.3125,0.13
0,0.74,0,8.25,0.31,0.0175
4,0.48,0,9.75,0.125,0.0125
0,0.53,0.18,10.75,0.4075,0.0675
0,0.7,0.16,8.25,0.425,0.0125
14,1.23,0.29,10,0.8125,0.0425
11,0.81,0.32,13.5,0.2525,0.1925
3,0.9,0.03,17,0.9825,0.1125
0,0.8,0.08,12.75,0.3875,0.18
0,0.56,0.31,8,0.2,0.015
14,0.46,0.18,13.75,0.2275,0.105
9,0.67,0.2,16.25,0.49,0.1775
6,0.71,0.75,8.25,0.5525,0.0375
6,0.55,0.12,12,0.6925,0.12
