Name,Team,Position,Price,Points
Aaron Ramsey,ARS,MID,71,4.07
Javier Hernandez,WHU,FWD,61,4.05
Harry Maguire,LEI,DEF,54,4.02
Bernd Leno,ARS,GK,49,4.02
Andros Townsend,CPL,MID,58,4.01
Diogo Jota,WOL,MID,61,3.95
Pierre-Emile Hojbjerg,SOT,MID,44,3.93
Kyle Walker,MCI,DEF,64,3.91
Asmir Begovic,BOR,GK,43,3.91
Davinson Sanchez,TOT,DEF,58,3.89
N'Golo Kante,CHE,MID,50,3.89
Ricardo Pereira,LEI,DEF,54,3.89
Matthew Doherty,WOL,DEF,53,3.88
Son Heung-Min,TOT,MID,86,3.87
Bernard,EVE,MID,59,3.86
Fernandinho,MCI,MID,53,3.83
Victor Lindelof,MUN,DEF,50,3.82
John Stones,MCI,DEF,52,3.79
Paul Pogba,MUN,MID,87,3.77
Danilo,MCI,DEF,50,3.77
Gerard Deulofeu,WAT,MID,57,3.76
Martin Dubravka,NEW,GK,50,3.76
Henrikh Mkhitaryan,ARS,MID,68,3.73
Marko Arnautovic,WHU,FWD,68,3.71
Demarai Gray,LEI,MID,54,3.71
Ben Foster,WAT,GK,46,3.69
James Ward-Prowse,SOT,MID,51,3.69
Ashley Westwood,BUR,MID,46,3.64
Joao Moutinho,WOL,MID,52,3.64
Nathan Ake,BOR,DEF,51,3.64
Leander Dendoncker,WOL,MID,43,3.63
Sergio Rico,FUL,GK,44,3.63
Lucas Digne,EVE,DEF,53,3.62
Kepa Arrizabalaga,CHE,GK,54,3.58
Seamus Coleman,EVE,DEF,52,3.54
Romain Saiss,WOL,DEF,42,3.53
Dwight Mcneil,BUR,MID,44,3.53
Georginio Wijnaldum,LIV,MID,55,3.52
Ben Mee,BUR,DEF,46,3.51
Chris Smalling,MUN,DEF,56,3.50
James Tarkowski,BUR,DEF,47,3.49
Jonny Evans,LEI,DEF,48,3.48
Lukasz Fabianski,WHU,GK,48,3.47
Roberto Pereyra,WAT,MID,60,3.45
Vicente Guaita,CPL,GK,42,3.45
Felipe Anderson,WHU,MID,70,3.44
Michy Batshuayi,CPL,FWD,65,3.44
Moussa Sissoko,TOT,MID,49,3.42
Will Hughes,WAT,MID,49,3.42
Ben Hamer,HUD,GK,39,3.41
Maya Yoshida,SOT,DEF,41,3.40
Marcos Rojo,MUN,DEF,49,3.40
Virgil van Dijk,LIV,DEF,66,3.38
Danny Ings,SOT,FWD,54,3.38
Joel Matip,LIV,DEF,49,3.36
Aaron Mooy,HUD,MID,50,3.34
Andrew Robertson,LIV,DEF,68,3.33
Luka Milivojevic,CPL,MID,64,3.32
Manuel Lanzini,WHU,MID,64,3.32
Yann Valery,SOT,DEF,41,3.31
Alex Pritchard,HUD,MID,48,3.29
Charlie Taylor,BUR,DEF,44,3.28
Matthew Lowton,BUR,DEF,46,3.27
Jannik Vestergaard,SOT,DEF,46,3.27
Miguel Almiron,NEW,MID,60,3.25
David Brooks,BOR,MID,51,3.21
Ainsley Maitland-Niles,ARS,MID,44,3.19
Michael Keane,EVE,DEF,48,3.16
Kurt Zouma,EVE,DEF,50,3.16
Dan Gosling,BOR,MID,47,3.15
Willy Boly,WOL,DEF,47,3.14
Andre Zambo Anguissa,FUL,MID,44,3.14
Ryan Sessegnon,FUL,MID,60,3.13
Fabinho,LIV,MID,55,3.12
Ryan Bertrand,SOT,DEF,48,3.12
Jan Bednarek,SOT,DEF,40,3.12
Andre Gomes,EVE,MID,54,3.11
Isaac Hayden,NEW,MID,44,3.11
Jorginho,CHE,MID,46,3.09
Jack Cork,BUR,MID,46,3.08
Jonny,WOL,DEF,43,3.02
Tom Cairney,FUL,MID,46,3.00
Wilfred Ndidi,LEI,MID,49,2.98
Jefferson Lerma,BOR,MID,45,2.95
Idrissa Gueye,EVE,MID,47,2.94
Matteo Guendouzi,ARS,MID,44,2.93
James McArthur,CPL,MID,48,2.92
Conor Coady,WOL,DEF,45,2.89
Adam Smith,BOR,DEF,43,2.88
Laurent Koscielny,ARS,DEF,54,2.77
Ruben Neves,WOL,MID,49,2.74
Mark Noble,WHU,MID,48,2.74
Ander Herrera,MUN,MID,50,2.73
Jeff Hendrick,BUR,MID,52,2.73
Sead Kolasinac,ARS,DEF,50,2.72
Nacho Monreal,ARS,DEF,54,2.67
Oriol Romeu,SOT,MID,42,2.64
Ki Sung-Yueng,NEW,MID,47,2.63
Nemanja Matic,MUN,MID,50,2.63
Chris Mepham,BOR,DEF,45,2.63
Nathaniel Clyne,BOR,DEF,44,2.59
Jonathan Hogg,HUD,MID,44,2.59
Shkodran Mustafi,ARS,DEF,54,2.58
Cheikhou Kouyate,CPL,MID,47,2.52
Kiko,WAT,DEF,42,2.45
Joe Bryan,FUL,DEF,48,2.44
Etienne Capoue,WAT,MID,48,2.44
Jose Holebas,WAT,DEF,48,2.43
Adrian Mariappa,WAT,DEF,42,2.42
Maxime Le Marchand,FUL,DEF,42,2.29
Cesar Azpilicueta,CHE,DEF,64,2.21
DeAndre Yedlin,NEW,DEF,45,2.20
Fabian Schar,NEW,DEF,46,2.19
Craig Cathcart,WAT,DEF,45,2.14
Fabian Balbuena,WHU,DEF,42,2.13
Paul Dummett,NEW,DEF,44,2.12
Jamaal Lascelles,NEW,DEF,47,2.08
Tim Ream,FUL,DEF,42,2.03
Cyrus Christie,FUL,DEF,42,2.03
Calum Chambers,FUL,DEF,42,2.01
Aaron Cresswell,WHU,DEF,50,1.96
Antonio Rudiger,CHE,DEF,59,1.95
David Luiz,CHE,DEF,60,1.92
Ryan Fredericks,WHU,DEF,45,1.90
Emerson Palmieri,CHE,DEF,52,1.81
Declan Rice,WHU,DEF,46,1.72
Patrick van Aanholt,CPL,DEF,55,1.68
Aaron Wan-Bissaka,CPL,DEF,45,1.67
Juninho Bacuna,HUD,DEF,42,1.61
Issa Diop,WHU,DEF,43,1.58
Martin Kelly,CPL,DEF,39,1.57
Scott Dann,CPL,DEF,44,1.54
Terence Kongolo,HUD,DEF,43,1.48
Chris Lowe,HUD,DEF,44,1.43
Tommy Smith,HUD,DEF,44,1.36
Christopher Schindler,HUD,DEF,42,1.31
Erik Durm,HUD,DEF,44,1.23
