Name,Team,Position,Price,Points
Kasper Schmeichel,LEI,GK,50,3.8
Ryan Sessegnon,FUL,MID,60,3.77
N'Golo Kante,CHE,MID,50,3.76
Bernard,EVE,MID,59,3.76
Youri Tielemans,LEI,MID,61,3.76
Junior Hoilett,CAR,MID,50,3.75
Oumar Niasse,CAR,FWD,50,3.75
Manuel Lanzini,WHU,MID,64,3.73
Solly March,BRI,MID,47,3.7
Maya Yoshida,SOT,DEF,41,3.67
Robert Snodgrass,WHU,MID,50,3.66
Shane Duffy,BRI,DEF,48,3.66
Toby Alderweireld,TOT,DEF,60,3.64
Pedro,CHE,MID,62,3.61
Fernandinho,MCI,MID,53,3.58
James Ward-Prowse,SOT,MID,51,3.57
Luka Milivojevic,CPL,MID,64,3.56
Matt Ritchie,NEW,MID,58,3.54
Jonas Lossl,HUD,GK,44,3.53
Willy Boly,WOL,DEF,47,3.52
Davinson Sanchez,TOT,DEF,58,3.5
Granit Xhaka,ARS,MID,52,3.49
Lukasz Fabianski,WHU,GK,47,3.47
Pierre-Emile Hojbjerg,SOT,MID,44,3.45
Tom Cairney,FUL,MID,46,3.44
Fabinho,LIV,MID,55,3.42
Ashley Barnes,BUR,FWD,56,3.42
Tom Heaton,BUR,GK,48,3.41
James McArthur,CPL,MID,48,3.41
Jan Vertonghen,TOT,DEF,59,3.4
Joe Bryan,FUL,DEF,48,3.36
Alireza Jahanbakhsh,BRI,MID,67,3.35
Aaron Mooy,HUD,MID,50,3.32
Demarai Gray,LEI,MID,54,3.32
Nathaniel Mendez-Laing,CAR,MID,48,3.29
Ben Davies,TOT,DEF,56,3.27
Scott Dann,CPL,DEF,44,3.27
Martin Montoya,BRI,DEF,43,3.23
Luke Shaw,MUN,DEF,50,3.23
Ainsley Maitland-Niles,ARS,MID,44,3.23
Sean Morrison,CAR,DEF,47,3.21
Andre Gomes,EVE,MID,54,3.21
Dan Gosling,BOR,MID,47,3.21
Jorginho,CHE,MID,46,3.21
Dwight Mcneil,BUR,MID,44,3.2
Dale Stephens,BRI,MID,43,3.17
Jonny,WOL,DEF,43,3.17
Lucas Digne,EVE,DEF,53,3.16
Kiko,WAT,DEF,42,3.08
Ben Chilwell,LEI,DEF,51,3.06
Matthew Doherty,WOL,DEF,53,3.05
Nathan Ake,BOR,DEF,51,3.04
Cheikhou Kouyate,CPL,MID,47,3.03
Jan Bednarek,SOT,DEF,40,3.01
Ryan Bertrand,SOT,DEF,48,3
Eric Dier,TOT,MID,47,3
Ashley Westwood,BUR,MID,46,3
Martin Kelly,CPL,DEF,39,2.96
Aron Gunnarsson,CAR,MID,44,2.93
Fabian Schar,NEW,DEF,46,2.93
Davy Propper,BRI,MID,48,2.92
Alex Pritchard,HUD,MID,48,2.92
Jannik Vestergaard,SOT,DEF,46,2.9
Kurt Zouma,EVE,DEF,50,2.89
Patrick van Aanholt,CPL,DEF,55,2.89
Ruben Neves,WOL,MID,49,2.89
Idrissa Gueye,EVE,MID,47,2.88
Yann Valery,SOT,DEF,41,2.88
Craig Cathcart,WAT,DEF,45,2.87
Ki Sung-Yueng,NEW,MID,47,2.85
Isaac Hayden,NEW,MID,43,2.85
Andre Zambo Anguissa,FUL,MID,44,2.83
Adam Masina,WAT,DEF,43,2.83
Seamus Coleman,EVE,DEF,52,2.82
Adrian Mariappa,WAT,DEF,42,2.82
Lucas Torreira,ARS,MID,47,2.81
Fred,MUN,MID,53,2.8
DeAndre Yedlin,NEW,DEF,45,2.77
Etienne Capoue,WAT,MID,48,2.77
Jefferson Lerma,BOR,MID,45,2.75
Emerson Palmieri,CHE,DEF,52,2.75
Mark Noble,WHU,MID,48,2.74
Ricardo Pereira,LEI,DEF,54,2.73
Ashley Young,MUN,DEF,57,2.72
Cesar Azpilicueta,CHE,DEF,64,2.71
Calum Chambers,FUL,DEF,42,2.71
Michael Keane,EVE,DEF,48,2.71
Oriol Romeu,SOT,MID,42,2.69
David Luiz,CHE,DEF,59,2.69
Chris Smalling,MUN,DEF,56,2.67
Christian Atsu,NEW,MID,51,2.66
Nemanja Matic,MUN,MID,50,2.66
Maxime Le Marchand,FUL,DEF,42,2.65
Wilfred Ndidi,LEI,MID,49,2.65
Maximilian Meyer,CPL,MID,55,2.64
Conor Coady,WOL,DEF,45,2.63
Paul Dummett,NEW,DEF,44,2.63
Romain Saiss,WOL,DEF,42,2.63
Jamaal Lascelles,NEW,DEF,47,2.62
Aaron Wan-Bissaka,CPL,DEF,45,2.59
Antonio Rudiger,CHE,DEF,59,2.56
Jeff Hendrick,BUR,MID,52,2.55
Shkodran Mustafi,ARS,DEF,54,2.55
Matteo Darmian,MUN,DEF,46,2.52
Victor Lindelof,MUN,DEF,50,2.51
Jonathan Hogg,HUD,MID,44,2.5
Laurent Koscielny,ARS,DEF,54,2.49
Jack Cork,BUR,MID,46,2.48
Tim Ream,FUL,DEF,42,2.47
Cyrus Christie,FUL,DEF,42,2.46
Sead Kolasinac,ARS,DEF,50,2.36
Bruno Ecuele Manga,CAR,DEF,44,2.36
Nacho Monreal,ARS,DEF,54,2.35
Harry Maguire,LEI,DEF,54,2.33
Joe Bennett,CAR,DEF,44,2.33
Lee Peltier,CAR,DEF,39,2.29
Jonny Evans,LEI,DEF,48,2.28
Nathaniel Clyne,BOR,DEF,44,2.09
Chris Mepham,BOR,DEF,45,2.08
Aaron Cresswell,WHU,DEF,50,2.07
Adam Smith,BOR,DEF,43,2.01
Angelo Ogbonna,WHU,DEF,42,1.9
Fabian Balbuena,WHU,DEF,42,1.82
Declan Rice,WHU,DEF,45,1.65
Ryan Fredericks,WHU,DEF,45,1.55
Ben Mee,BUR,DEF,46,1.4
James Tarkowski,BUR,DEF,47,1.25
Juninho Bacuna,HUD,DEF,42,1.21
Matthew Lowton,BUR,DEF,46,1.2
Charlie Taylor,BUR,DEF,44,1.17
Terence Kongolo,HUD,DEF,43,0.72
Christopher Schindler,HUD,DEF,42,0.68
Tommy Smith,HUD,DEF,44,0.67
Erik Durm,HUD,DEF,44,0.56
